date,monument,city/town,state0,country
2020.06.01 , Confederate Soldiers & Sailors Monument, Birmingham, Alabama USA
2020.05.30 , Charles Linn Monument, Birmingham, Alabama USA
2020.05.30 , Statue of Edward Carmack, Nashville, Tennessee USA
2019.04.19 , Kate Smith Statue, Philadelphia, Pennsylvania USA
2018.10.01 , Thorfinn Karlsefni Statue, Philadelphia, Pennsylvania USA
2017.09.14 , Robert E. Lee Monument, Dallas, Texas USA
2017.08.25 , Confederate monument, Kansas City, Missouri USA
2017.08.16 , Jackson and Lee Monument, Baltimore, Maryland USA
2017.08.16 , Roger B. Taney Sculpture, Baltimore, Maryland USA
2017.08.16 , Confederate Soldiers and Sailors Monument, Baltimore, Maryland USA
2017.08.16 , Confederate Women's Monument, Baltimore, Maryland USA
2017.08.14, Confederate Soldiers Monument, Durham, North Carolina USA
2017.06.26 , Confederate War Memorial, St. Louis, Missouri USA
